month_date,hires,pct_of_baseline,usable
1971-06-01,35,0.2,TRUE
1971-07-01,18,0.1,TRUE
1971-08-01,16,0.1,TRUE
1971-09-01,55,0.3,TRUE
1971-10-01,24,0.1,TRUE
1971-11-01,20,0.1,TRUE
1971-12-01,22,0.1,TRUE
1972-01-01,291,1.4,TRUE
1972-02-01,39,0.2,TRUE
1972-03-01,33,0.2,TRUE
1972-04-01,37,0.2,TRUE
1972-05-01,30,0.1,TRUE
1972-06-01,35,0.2,TRUE
1972-07-01,27,0.1,TRUE
1972-08-01,33,0.2,TRUE
1972-09-01,86,0.4,TRUE
1972-10-01,50,0.2,TRUE
1972-11-01,33,0.2,TRUE
1972-12-01,18,0.1,TRUE
1973-01-01,274,1.3,TRUE
1973-02-01,38,0.2,TRUE
1973-03-01,54,0.3,TRUE
1973-04-01,45,0.2,TRUE
1973-05-01,28,0.1,TRUE
1973-06-01,26,0.1,TRUE
1973-07-01,27,0.1,TRUE
1973-08-01,35,0.2,TRUE
1973-09-01,78,0.4,TRUE
1973-10-01,40,0.2,TRUE
1973-11-01,25,0.1,TRUE
1973-12-01,24,0.1,TRUE
1974-01-01,394,1.9,TRUE
1974-02-01,40,0.2,TRUE
1974-03-01,45,0.2,TRUE
1974-04-01,56,0.3,TRUE
1974-05-01,33,0.2,TRUE
1974-06-01,50,0.2,TRUE
1974-07-01,52,0.2,TRUE
1974-08-01,42,0.2,TRUE
1974-09-01,114,0.5,TRUE
1974-10-01,55,0.3,TRUE
1974-11-01,21,0.1,TRUE
1974-12-01,23,0.1,TRUE
1975-01-01,516,2.4,TRUE
1975-02-01,46,0.2,TRUE
1975-03-01,54,0.3,TRUE
1975-04-01,47,0.2,TRUE
1975-05-01,63,0.3,TRUE
1975-06-01,59,0.3,TRUE
1975-07-01,51,0.2,TRUE
1975-08-01,56,0.3,TRUE
1975-09-01,103,0.5,TRUE
1975-10-01,64,0.3,TRUE
1975-11-01,51,0.2,TRUE
1975-12-01,30,0.1,TRUE
1976-01-01,502,2.4,TRUE
1976-02-01,61,0.3,TRUE
1976-03-01,70,0.3,TRUE
1976-04-01,73,0.3,TRUE
1976-05-01,72,0.3,TRUE
1976-06-01,81,0.4,TRUE
1976-07-01,65,0.3,TRUE
1976-08-01,45,0.2,TRUE
1976-09-01,127,0.6,TRUE
1976-10-01,73,0.3,TRUE
1976-11-01,51,0.2,TRUE
1976-12-01,37,0.2,TRUE
1977-01-01,586,2.8,TRUE
1977-02-01,59,0.3,TRUE
1977-03-01,65,0.3,TRUE
1977-04-01,70,0.3,TRUE
1977-05-01,72,0.3,TRUE
1977-06-01,87,0.4,TRUE
